game_name,link,genres,release_year,number_of_reviews_from_purchased_people,game_avg_hrs_played,overall_player_rating,game_id
Northgard,https://store.steampowered.com/app/466560/Northgard?snr=1_category_4_strategy_100727,strategy city_builder simulation rts base_building colony_sim building 4x economy tactical war management multiplayer pvp singleplayer moddable co-op vikings pve resource_management,2018,47115.0,207.64144539828308,Very Positive,127
eFootball™,https://store.steampowered.com/app/1665460/eFootball?snr=1_category_4_simulation_salebrowseall,football_(soccer) free_to_play controller sports multiplayer esports simulation pvp local_multiplayer co-op singleplayer online_co-op local_co-op realistic comedy memes violent lgbtq+ anime funny,2021,80277.0,166.93666333666334,Mixed,223
Total War: PHARAOH,https://store.steampowered.com/app/1937780/Total_War_PHARAOH?snr=1_category_4_strategy_salebrowseall,strategy rts grand_strategy action tactical war multiplayer atmospheric singleplayer turn-based_strategy pvp historical 4x capitalism rome management psychological_horror sexual_content nudity nsfw,2023,3189.0,57.70446491849752,Mixed,192
Little Nightmares,https://store.steampowered.com/app/424840/Little_Nightmares?snr=1_category_4_adventure_salebrowseall,horror atmospheric adventure singleplayer puzzle_platformer dark puzzle indie story_rich stealth platformer psychological_horror great_soundtrack 2.5d third_person survival_horror female_protagonist short action strategy,2017,44086.0,18.22976501305483,Very Positive,101
Skater XL - The Ultimate Skateboarding Game,https://store.steampowered.com/app/962730/Skater_XL__The_Ultimate_Skateboarding_Game?snr=1_category_4_sportsandracing_100727,skateboarding skating multiplayer sports sandbox online_co-op moddable physics character_customization simulation adventure mod controller action singleplayer realistic open_world snowboarding soundtrack indie,2020,18108.0,167.6538231183869,Very Positive,162
My Summer Car,https://store.steampowered.com/app/516750/My_Summer_Car?snr=1_category_4_simulation_100727,automobile_sim simulation driving open_world survival realistic first-person building racing singleplayer funny early_access sandbox difficult perma_death comedy indie adventure multiplayer puzzle,2016,71176.0,178.15370741482965,Very Positive,120
"Warhammer 40,000: Gladius - Relics of War",https://store.steampowered.com/app/489630/Warhammer_40000_Gladius__Relics_of_War?snr=1_category_4_strategy_100727,strategy warhammer_40k 4x turn-based_strategy hex_grid turn-based multiplayer sci-fi turn-based_tactics wargame singleplayer tactical co-op war grand_strategy turn-based_combat replay_value great_soundtrack military games_workshop,2018,6858.0,130.62630522088352,Very Positive,216
Red Dead Redemption 2,https://store.steampowered.com/app/1174180/Red_Dead_Redemption_2?snr=1_category_4_action_100726,open_world story_rich western adventure multiplayer action realistic singleplayer shooter atmospheric horses beautiful mature third-person_shooter great_soundtrack third_person gore sandbox first-person fps,2019,571694.0,278.6610067918498,Very Positive,144
Balatro,https://store.steampowered.com/app/2379780/Balatro?snr=1_category_4_strategy_100726,roguelike_deckbuilder card_game roguelike deckbuilding singleplayer strategy card_battler turn-based replay_value pixel_graphics choices_matter roguelite casual turn-based_strategy difficult 2d arcade simulation relaxing procedural_generation,2024,42900.0,86.03406813627255,Overwhelmingly Positive,20
ARK: Survival Evolved,https://store.steampowered.com/app/346110/ARK_Survival_Evolved?snr=1_category_4_action_100727,open_world_survival_craft survival multiplayer open_world dinosaurs crafting building adventure base_building co-op action first-person sandbox massively_multiplayer singleplayer early_access rpg dragons sci-fi indie,2017,527988.0,1907.1898582551407,Very Positive,3
Hollow Knight,https://store.steampowered.com/app/367520/Hollow_Knight?snr=1_category_4_action_100727,metroidvania souls-like platformer great_soundtrack difficult 2d indie singleplayer atmospheric exploration adventure story_rich hand-drawn action multiple_endings dark_fantasy open_world cute controller side_scroller,2017,329268.0,128.98462767019365,Overwhelmingly Positive,89
Fallout: New Vegas,https://store.steampowered.com/app/22380/Fallout_New_Vegas?snr=1_category_4_rpg_100727,open_world rpg post-apocalyptic singleplayer moddable story_rich exploration first-person action adventure sci-fi fps western atmospheric action_rpg character_customization survival sandbox shooter third_person,2010,173792.0,289.9392971246006,Overwhelmingly Positive,68
Call of Duty®,https://store.steampowered.com/app/1938090/Call_of_Duty?snr=1_category_4_action_salebrowseall,fps multiplayer shooter action singleplayer military first-person war modern tactical violent co-op realistic story_rich atmospheric mature online_co-op gore third-person_shooter third_person,2022,333296.0,291.29307246955483,Mixed,24
Core Keeper,https://store.steampowered.com/app/1621690/Core_Keeper?snr=1_category_4_adventure_salebrowseall,pixel_graphics online_co-op open_world_survival_craft sandbox survival adventure crafting 2d exploration building mining dungeon_crawler procedural_generation farming_sim relaxing cooking simulation atmospheric mystery casual,2024,30117.0,96.7515127067366,Very Positive,32
Tabletop Simulator,https://store.steampowered.com/app/286160/Tabletop_Simulator?snr=1_category_4_simulation_100727,tabletop board_game simulation multiplayer sandbox card_game vr trading_card_game physics moddable casual 3d strategy online_co-op wargame co-op rpg funny first-person indie,2015,40083.0,369.9411177644711,Overwhelmingly Positive,177
DREDGE,https://store.steampowered.com/app/1562430/DREDGE?snr=1_category_4_adventure_100726,exploration fishing lovecraftian open_world adventure mystery inventory_management atmospheric rpg simulation psychological_horror singleplayer horror stylized survival_horror psychological story_rich sailing 3d indie,2023,29450.0,18.99258517034068,Overwhelmingly Positive,37
EA SPORTS FC™ 24,https://store.steampowered.com/app/2195250/EA_SPORTS_FC_24?snr=1_category_4_sportsandracing_salebrowseall,football_(soccer) sports controller multiplayer esports pvp competitive pve local_multiplayer 3d simulation online_co-op singleplayer realistic local_co-op co-op action family_friendly first-person early_access,2023,85952.0,283.6858743497399,Mixed,54
